[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 21.925 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 1014.209 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 0.582 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 200 [response-time]: 2.467 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 35.683 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 200 [response-time]: 32.504 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 0.348 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 200 [response-time]: 0.333 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 4.709 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 5.852 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 8.095 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 9.034 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 1.143 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 304 [response-time]: 8.847 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 0.541 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 200 [response-time]: 0.211 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 4.309 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 5.912 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 3.330 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 4.736 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/customer/user_get_customer HTTP/1.1 [status]: 200 [response-time]: 2.639 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[11: 03: 26] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/quotation/get_run_number_qt HTTP/1.1 [status]: 304 [response-time]: 3.148 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
