[03: 05: 02] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/invoice/get_run_number_iv HTTP/1.1 [status]: 400 [response-time]: 2197.388 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[03: 05: 02] [ip]: ::ffff:127.0.0.1 root [method]: GET [url]: /api/v1/invoice/get_run_number_iv HTTP/1.1 [status]: 400 [response-time]: 53.712 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[03: 05: 02] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/invoice/get_run_number_iv HTTP/1.1 [status]: 400 [response-time]: 3.507 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[03: 09: 29] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/invoice/get_run_number_iv HTTP/1.1 [status]: 400 [response-time]: 595.597 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[03: 09: 29] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 400 [response-time]: 179.456 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[03: 35: 32] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 400 [response-time]: 1640.712 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[03: 49: 40] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 6.007 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[03: 49: 40] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 400 [response-time]: 1315.482 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 03: 32] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 7.293 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 03: 32] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 400 [response-time]: 1012.256 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
[04: 06: 54] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/customer/get_name_all HTTP/1.1 [status]: 200 [response-time]: 183.449 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
